#,full_name,key,title,booktitle,journal,pages,year
196,Bogdan S. Chlebus,journals/siamdm/ChlebusDP94,Sorting on a Mesh-Connected Computer with Delaying Links.,,SIAM J. Discrete Math.,"[119,132]",1994
197,Krzysztof Diks,journals/siamdm/ChlebusDP94,Sorting on a Mesh-Connected Computer with Delaying Links.,,SIAM J. Discrete Math.,"[119,132]",1994
198,Andrzej Pelc,journals/siamdm/ChlebusDP94,Sorting on a Mesh-Connected Computer with Delaying Links.,,SIAM J. Discrete Math.,"[119,132]",1994
199,Krzysztof Diks,journals/dam/DiksKP98,Perfect Broadcasting in Unlabeled Networks.,,Discrete Applied Mathematics,"[33,47]",1998
200,<author orcid=0000-0002-8959-4428>Evangelos Kranakis,journals/dam/DiksKP98,Perfect Broadcasting in Unlabeled Networks.,,Discrete Applied Mathematics,"[33,47]",1998
201,Andrzej Pelc,journals/dam/DiksKP98,Perfect Broadcasting in Unlabeled Networks.,,Discrete Applied Mathematics,"[33,47]",1998
202,Bogdan S. Chlebus,journals/dam/ChlebusDP94,Fast gossiping with short unreliable messages.,,Discrete Applied Mathematics,"[15,24]",1994
203,Krzysztof Diks,journals/dam/ChlebusDP94,Fast gossiping with short unreliable messages.,,Discrete Applied Mathematics,"[15,24]",1994
204,Andrzej Pelc,journals/dam/ChlebusDP94,Fast gossiping with short unreliable messages.,,Discrete Applied Mathematics,"[15,24]",1994
205,Krzysztof Diks,journals/ijfcs/DiksGL93,Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.,,Int. J. Found. Comput. Sci.,"[179,192]",1993
206,Oscar Garrido,journals/ijfcs/DiksGL93,Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.,,Int. J. Found. Comput. Sci.,"[179,192]",1993
207,Andrzej Lingas,journals/ijfcs/DiksGL93,Parallel Algorithms for Finding Maximal k-Dependent Sets and Maximal f-Matchings.,,Int. J. Found. Comput. Sci.,"[179,192]",1993
